cwe_id,cwe_name,description,extended_description,url,is_category,bad_code
cwe-14,compiler removal of code to clear buffers,"sensitive memory is cleared according to the source code, but compiler optimizations leave the memory untouched when it is not read from again, aka ""dead store removal.""","
            this compiler optimization error occurs when:
            
               secret data are stored in memory.
               the secret data are scrubbed from memory by overwriting its contents.
               the source code is compiled using an optimizing compiler, which identifies and removes the function that overwrites the contents as a dead store because the memory is not used subsequently.
            
         
         ",https://cwe.mitre.org/data/definitions/14.html,FALSE," language:cvoid getdata(char *mfaddr) {char pwd[64];if (getpasswordfromuser(pwd, sizeof(pwd))) {if (connecttomainframe(mfaddr, pwd)) {// interaction with mainframe}}memset(pwd, 0, sizeof(pwd));}"
cwe-166,improper handling of missing special element,"the product receives input from an upstream component, but it does not handle or incorrectly handles when an expected special element is missing.","
            
            
         
         ",https://cwe.mitre.org/data/definitions/166.html,FALSE,missing
cwe-167,improper handling of additional special element,"the product receives input from an upstream component, but it does not handle or incorrectly handles when an additional unexpected special element is provided.","
            
            
         
         ",https://cwe.mitre.org/data/definitions/167.html,FALSE,missing
cwe-170,improper null termination,the product does not terminate or incorrectly terminates a string or array with a null character or equivalent terminator.,"null termination errors frequently occur in two different ways. an off-by-one error could cause a null to be written out of bounds, leading to an overflow. or, a program could use a strncpy() function call incorrectly, which prevents a null terminator from being added at all. other scenarios are possible.
         ",https://cwe.mitre.org/data/definitions/170.html,FALSE," language:c#define maxlen 1024...char *pathbuf[maxlen];...read(cfgfile,inputbuf,maxlen); //does not null terminatestrcpy(pathbuf,inputbuf); //requires null terminated input..."
cwe-179,incorrect behavior order: early validation,"the product validates input before applying protection mechanisms that modify the input, which could allow an attacker to bypass the validation via dangerous inputs that only arise after the modification.","product needs to validate data at the proper time, after data has been canonicalized and cleansed. early validation is susceptible to various manipulations that result in dangerous inputs that are produced by canonicalization and cleansing.
         ",https://cwe.mitre.org/data/definitions/179.html,FALSE," language:javastring path = getinputpath();if (path.startswith(""/safe_dir/"")){file f = new file(path);return f.getcanonicalpath();}"
cwe-180,incorrect behavior order: validate before canonicalize,"the product validates input before it is canonicalized, which prevents the product from detecting data that becomes invalid after the canonicalization step.","this can be used by an attacker to bypass the validation and launch attacks that expose weaknesses that would otherwise be prevented, such as injection.
         ",https://cwe.mitre.org/data/definitions/180.html,FALSE," language:javastring path = getinputpath();if (path.startswith(""/safe_dir/"")){file f = new file(path);return f.getcanonicalpath();}"
cwe-181,incorrect behavior order: validate before filter,"the product validates data before it has been filtered, which prevents the product from detecting data that becomes invalid after the filtering step.","this can be used by an attacker to bypass the validation and launch attacks that expose weaknesses that would otherwise be prevented, such as injection.
         ",https://cwe.mitre.org/data/definitions/181.html,FALSE," language:phpfunction createdir($username,$dirname){$userdir = '/users/'. $username;if(strpos($dirname,'..') !== false){echo 'directory name contains invalid sequence';return;}//filter out '~' because other scripts identify user directories by this prefix$dirname = str_replace('~','',$dirname);$newdir = $userdir . $dirname;mkdir($newdir, 0700);chown($newdir,$username);}"
cwe-182,collapse of data into unsafe value,"the product filters data in a way that causes it to be reduced or ""collapsed"" into an unsafe value that violates an expected security property.","
            
            
            
            
         
         ",https://cwe.mitre.org/data/definitions/182.html,FALSE,missing
cwe-183,permissive list of allowed inputs,"the product implements a protection mechanism that relies on a list of inputs (or properties of inputs) that are explicitly allowed by policy because the inputs are assumed to be safe, but the list is too permissive - that is, it allows an input that is unsafe, leading to resultant weaknesses.","
            
            
         
         ",https://cwe.mitre.org/data/definitions/183.html,FALSE,missing
cwe-20,improper input validation,"the product receives input or data, but it does
        not validate or incorrectly validates that the input has the
        properties that are required to process the data safely and
        correctly.","
	   input validation is a frequently-used technique
	   for checking potentially dangerous inputs in order to
	   ensure that the inputs are safe for processing within the
	   code, or when communicating with other components.  when
	   software does not validate input properly, an attacker is
	   able to craft the input in a form that is not expected by
	   the rest of the application. this will lead to parts of the
	   system receiving unintended input, which may result in
	   altered control flow, arbitrary control of a resource, or
	   arbitrary code execution.
	   input validation is not the only technique for
	   processing input, however.  other techniques attempt to
	   transform potentially-dangerous input into something safe, such
	   as filtering (cwe-790) - which attempts to remove dangerous
	   inputs - or encoding/escaping (cwe-116), which attempts to
	   ensure that the input is not misinterpreted when it is included
	   in output to another component. other techniques exist as well
	   (see cwe-138 for more examples.)
	   input validation can be applied to:
	   
	     raw data - strings, numbers, parameters, file contents, etc.
	     metadata - information about the raw data, such as headers or size
	   
	   data can be simple or structured.  structured data
	   can be composed of many nested layers, composed of
	   combinations of metadata and raw data, with other simple or
	   structured data.
	   many properties of raw data or metadata may need
	   to be validated upon entry into the code, such
	   as:
	   
	     specified quantities such as size, length, frequency, price, rate, number of operations, time, etc.
	     implied or derived quantities, such as the actual size of a file instead of a specified size
	     indexes, offsets, or positions into more complex data structures
	     symbolic keys or other elements into hash tables, associative arrays, etc.
	     well-formedness, i.e. syntactic correctness - compliance with expected syntax 
	     lexical token correctness - compliance with rules for what is treated as a token
	     specified or derived type - the actual type of the input (or what the input appears to be)
	     consistency - between individual data elements, between raw data and metadata, between references, etc.
	     conformance to domain-specific rules, e.g. business logic 
	     equivalence - ensuring that equivalent inputs are treated the same
	     authenticity, ownership, or other attestations about the input, e.g. a cryptographic signature to prove the source of the data
	   
	   implied or derived properties of data must often
	   be calculated or inferred by the code itself.  errors in
	   deriving properties may be considered a contributing factor
	   to improper input validation.
	   
	   note that ""input validation"" has very different
	   meanings to different people, or within different
	   classification schemes.  caution must be used when
	   referencing this cwe entry or mapping to it.  for example,
	   some weaknesses might involve inadvertently giving control
	   to an attacker over an input when they should not be able
	   to provide an input at all, but sometimes this is referred
	   to as input validation.
	   finally, it is important to emphasize that the
	   distinctions between input validation and output escaping
	   are often blurred, and developers must be careful to
	   understand the difference, including how input validation
	   is not always sufficient to prevent vulnerabilities,
	   especially when less stringent data types must be
	   supported, such as free-form text. consider a sql injection
	   scenario in which a person's last name is inserted into a
	   query. the name ""o'reilly"" would likely pass the validation
	   step since it is a common last name in the english
	   language. however, this valid name cannot be directly
	   inserted into the database because it contains the ""'""
	   apostrophe character, which would need to be escaped or
	   otherwise transformed. in this case, removing the
	   apostrophe might reduce the risk of sql injection, but it
	   would produce incorrect behavior because the wrong name
	   would be recorded.
       
         ",https://cwe.mitre.org/data/definitions/20.html,FALSE," language:java...public static final double price = 20.00;int quantity = currentuser.getattribute(""quantity"");double total = price * quantity;chargeuser(total);..."
cwe-203,observable discrepancy,"the product behaves differently or sends different responses under different circumstances in a way that is observable to an unauthorized actor, which exposes security-relevant information about the state of the product, such as whether a particular operation was successful or not.","discrepancies can take many forms, and variations may be detectable in timing, control flow, communications such as replies or requests, or general behavior. these discrepancies can reveal information about the product's operation or internal state to an unauthorized actor. in some cases, discrepancies can be used by attackers to form a side channel.
         ",https://cwe.mitre.org/data/definitions/203.html,FALSE," language:perlmy $username=param('username');my $password=param('password');if (isvalidusername($username) == 1){if (isvalidpassword($username, $password) == 1){print ""login successful"";}else{print ""login failed - incorrect password"";}}else{print ""login failed - unknown username"";}"
cwe-209,generation of error message containing sensitive information,"the product generates an error message that includes sensitive information about its environment, users, or associated data.","the sensitive information may be valuable information on its own (such as a password), or it may be useful for launching other, more serious attacks. the error message may be created in different ways:
           
             self-generated: the source code explicitly constructs the error message and delivers it
	     externally-generated: the external environment, such as a language interpreter, handles the error and constructs its own message, whose contents are not under direct control by the programmer
	   
	 an attacker may use the contents of error messages to help launch another, more focused attack. for example, an attempt to exploit a path traversal weakness (cwe-22) might yield the full pathname of the installed application. in turn, this could be used to select the proper number of "".."" sequences to navigate to the targeted file. an attack using sql injection (cwe-89) might not initially succeed, but an error message could reveal the malformed query, which would expose query logic and possibly even passwords or other sensitive information used within the query.
         ",https://cwe.mitre.org/data/definitions/209.html,FALSE, language:javatry {/.../}catch (exception e) {system.out.println(e);}
cwe-215,insertion of sensitive information into debugging code,"the product inserts sensitive information into debugging code, which could expose this information if the debugging code is not disabled in production.","when debugging, it may be necessary to report detailed information to the programmer.  however, if the debugging code is not disabled when the product is operating in a production environment, then this sensitive information may be exposed to attackers.
	 
         ",https://cwe.mitre.org/data/definitions/215.html,FALSE," language:jsp<% if (boolean.getboolean(""debugenabled"")) {%>user account number: <%= acctno %><%} %>"
cwe-219,storage of file with sensitive data under web root,"the product stores sensitive data under the web document root with insufficient access control, which might make it accessible to untrusted parties.","
	   besides public-facing web pages and code, products may store sensitive data, code that is not directly invoked, or other files under the web document root of the web server.  if the server is not configured or otherwise used to prevent direct access to those files, then attackers may obtain this sensitive data.
	 
         ",https://cwe.mitre.org/data/definitions/219.html,FALSE,missing
cwe-22,improper limitation of a pathname to a restricted directory ('path traversal'),"the product uses external input to construct a pathname that is intended to identify a file or directory that is located underneath a restricted parent directory, but the product does not properly neutralize special elements within the pathname that can cause the pathname to resolve to a location that is outside of the restricted directory.","
            many file operations are intended to take place within a restricted directory. by using special elements such as "".."" and ""/"" separators, attackers can escape outside of the restricted location to access files or directories that are elsewhere on the system. one of the most common special elements is the ""../"" sequence, which in most modern operating systems is interpreted as the parent directory of the current location. this is referred to as relative path traversal. path traversal also covers the use of absolute pathnames such as ""/usr/local/bin"" to access unexpected files. this is referred to as absolute path traversal.
         
         ",https://cwe.mitre.org/data/definitions/22.html,FALSE," language:perlmy $datapath = ""/users/cwe/profiles"";my $username = param(""user"");my $profilepath = $datapath . ""/"" . $username;open(my $fh, ""<"", $profilepath) || exiterror(""profile read error: $profilepath"");print ""<ul>\n"";while (<$fh>) {print ""<li>$_</li>\n"";}print ""</ul>\n"";"
cwe-226,sensitive information in resource not removed before reuse,"the product releases a resource such as memory or a file so that it can be made available for reuse, but it does not clear or ""zeroize"" the information contained in the resource before the product performs a critical state transition or makes the resource available for reuse by other entities.","
			 when resources are released, they can be made available for reuse. for example, after memory is de-allocated, an operating system may make the memory available to another process, or disk space may be reallocated when a file is deleted. as removing information requires time and additional resources, operating systems do not usually clear the previously written information.
			 even when the resource is reused by the same process, this weakness can arise when new data is not as large as the old data, which leaves portions of the old data still available. equivalent errors can occur in other situations where the length of data is variable but the associated data structure is not. if memory is not cleared after use, the information may be read by less trustworthy parties when the memory is reallocated.
			 this weakness can apply in hardware, such as when a device or system switches between power, sleep, or debug states during normal operation, or when execution changes to different users or privilege levels.
     
     ",https://cwe.mitre.org/data/definitions/226.html,FALSE,"(bad code)during the transition from a to b, the device does not scrub the memory."
cwe-228,improper handling of syntactically invalid structure,the product does not handle or incorrectly handles input that is not syntactically well-formed with respect to the associated specification.,"
            
            
         
         ",https://cwe.mitre.org/data/definitions/228.html,FALSE," language:java...intentfilter filter = new intentfilter(""com.example.urlhandler.openurl"");myreceiver receiver = new myreceiver();registerreceiver(receiver, filter);...public class urlhandlerreceiver extends broadcastreceiver {@overridepublic void onreceive(context context, intent intent) {if(""com.example.urlhandler.openurl"".equals(intent.getaction())) {string url = intent.getstringextra(""urltoopen"");int length = url.length();...}}}"
cwe-248,uncaught exception,"an exception is thrown from a function, but it is not caught.","when an exception is not caught, it may cause the program to crash or expose sensitive information.
         ",https://cwe.mitre.org/data/definitions/248.html,FALSE," language:javaprotected void dopost (httpservletrequest req, httpservletresponse res) throws ioexception {string ip = req.getremoteaddr();inetaddress addr = inetaddress.getbyname(ip);...out.println(""hello "" + addr.gethostname());}"
cwe-252,unchecked return value,"the product does not check the return value from a method or function, which can prevent it from detecting unexpected states and conditions.","two common programmer assumptions are ""this function call can never fail"" and ""it doesn't matter if this function call fails"". if an attacker can force the function to fail or otherwise return a value that is not expected, then the subsequent program logic could lead to a vulnerability, because the product is not in a state that the programmer assumes. for example, if the program calls a function to drop privileges but does not check the return code to ensure that privileges were successfully dropped, then the program will continue to operate with the higher privileges.
         ",https://cwe.mitre.org/data/definitions/252.html,FALSE," language:cchar buf[10], cp_buf[10];fgets(buf, 10, stdin);strcpy(cp_buf, buf);"
cwe-259,use of hard-coded password,"the product contains a hard-coded password, which it uses for its own inbound authentication or for outbound communication to external components.","
            a hard-coded password typically leads to a significant authentication failure that can be difficult for the system administrator to detect. once detected, it can be difficult to fix, so the administrator may be forced into disabling the product entirely. there are two main variations:
            
               inbound: the product contains an authentication mechanism that checks for a hard-coded password.
               outbound: the product connects to another system or component, and it contains hard-coded password for connecting to that component.
            
            in the inbound variant, a default administration account is created, and a simple password is hard-coded into the product and associated with that account. this hard-coded password is the same for each installation of the product, and it usually cannot be changed or disabled by system administrators without manually modifying the program, or otherwise patching the product. if the password is ever discovered or published (a common occurrence on the internet), then anybody with knowledge of this password can access the product. finally, since all installations of the product will have the same password, even across different organizations, this enables massive attacks such as worms to take place.
            the outbound variant applies to front-end systems that authenticate with a back-end service. the back-end service may require a fixed password which can be easily discovered. the programmer may simply hard-code those back-end credentials into the front-end product. any user of that program may be able to extract the password. client-side systems with hard-coded passwords pose even more of a threat, since the extraction of a password from a binary is usually very simple.
         
         ",https://cwe.mitre.org/data/definitions/259.html,FALSE," language:java...drivermanager.getconnection(url, ""scott"", ""tiger"");..."
cwe-261,weak encoding for password,obscuring a password with a trivial encoding does not protect the password.,"password management issues occur when a password is stored in plaintext in an application's properties or configuration file. a programmer can attempt to remedy the password management problem by obscuring the password with an encoding function, such as base 64 encoding, but this effort does not adequately protect the password.
         ",https://cwe.mitre.org/data/definitions/261.html,FALSE," language:java...properties prop = new properties();prop.load(new fileinputstream(""config.properties""));string password = base64.decode(prop.getproperty(""password""));drivermanager.getconnection(url, usr, password);..."
cwe-266,incorrect privilege assignment,"a product incorrectly assigns a privilege to a particular actor, creating an unintended sphere of control for that actor.","
            
            
         
         ",https://cwe.mitre.org/data/definitions/266.html,FALSE, language:cseteuid(0);/* do some stuff */seteuid(getuid());
cwe-268,privilege chaining,"two distinct privileges, roles, capabilities, or rights can be combined in a way that allows an entity to perform unsafe actions that would not be allowed without that combination.","
            
         
         ",https://cwe.mitre.org/data/definitions/268.html,FALSE," language:javapublic enum roles {admin,operator,user,guest}public void resetpassword(user requestinguser, user user, string password ){if(isauthenticated(requestinguser)){switch(requestinguser.role){case guest:system.out.println(""you are not authorized to perform this command"");break;case user:system.out.println(""you are not authorized to perform this command"");break;default:setpassword(user,password);break;}}else{system.out.println(""you must be logged in to perform this command"");}}"
cwe-283,unverified ownership,the product does not properly verify that a critical resource is owned by the proper entity.,"
            
         
         ",https://cwe.mitre.org/data/definitions/283.html,FALSE," language:pythondef killprocess(processid):os.kill(processid, signal.sigkill)"
cwe-284,improper access control,the product does not restrict or incorrectly restricts access to a resource from an unauthorized actor.,"
            access control involves the use of several protection mechanisms such as:
            
               authentication (proving the identity of an actor)
               authorization (ensuring that a given actor can access a resource), and
               accountability (tracking of activities that were performed)
            
            when any mechanism is not applied or otherwise fails, attackers can compromise the security of the product by gaining privileges, reading sensitive information, executing commands, evading detection, etc.
            there are two distinct behaviors that can introduce access control weaknesses:
               
                  specification: incorrect privileges, permissions, ownership, etc. are explicitly specified for either the user or the resource (for example, setting a password file to be world-writable, or giving administrator capabilities to a guest user). this action could be performed by the program or the administrator.
                  enforcement: the mechanism contains errors that prevent it from properly enforcing the specified access control requirements (e.g., allowing the user to specify their own privileges, or allowing a syntactically-incorrect acl to produce insecure settings). this problem occurs within the program itself, in that it does not actually enforce the intended security policy that the administrator specifies.
               
         
		 ",https://cwe.mitre.org/data/definitions/284.html,FALSE,missing
cwe-285,improper authorization,the product does not perform or incorrectly performs an authorization check when an actor attempts to access a resource or perform an action.,"
            assuming a user with a given identity, authorization is the process of determining whether that user can access a given resource, based on the user's privileges and any permissions or other access-control specifications that apply to the resource.
            when access control checks are not applied consistently - or not at all - users are able to access data or perform actions that they should not be allowed to perform. this can lead to a wide range of problems, including information exposures, denial of service, and arbitrary code execution.
         
         ",https://cwe.mitre.org/data/definitions/285.html,FALSE," language:phpfunction runemployeequery($dbname, $name){mysql_select_db($dbname,$globaldbhandle) or die(""could not open database"".$dbname);//use a prepared statement to avoidcwe-89$preparedstatement = $globaldbhandle->prepare('select * from employees where name = :name');$preparedstatement->execute(array(':name' => $name));return $preparedstatement->fetchall();}/.../$employeerecord = runemployeequery('employeedb',$_get['employeename']);"
cwe-287,improper authentication,"when an actor claims to have a given identity, the product does not prove or insufficiently proves that the claim is correct.","
            
			
         
         ",https://cwe.mitre.org/data/definitions/287.html,FALSE," language:perlmy $q = new cgi;if ($q->cookie('loggedin') ne ""true"") {if (! authenticateuser($q->param('username'), $q->param('password'))) {exiterror(""error: you need to log in first"");}else {# set loggedin and user cookies.$q->cookie(-name => 'loggedin',-value => 'true');$q->cookie(-name => 'user',-value => $q->param('username'));}}if ($q->cookie('user') eq ""administrator"") {doadministratortasks();}"
cwe-295,improper certificate validation,"the product does not validate, or incorrectly validates, a certificate.","when a certificate is invalid or malicious, it might allow an attacker to spoof a trusted entity by interfering in the communication path between the host and client. the product might connect to a malicious host while believing it is a trusted host, or the product might be deceived into accepting spoofed data that appears to originate from a trusted host.
         ",https://cwe.mitre.org/data/definitions/295.html,FALSE," language:cif ((cert = ssl_get_peer_certificate(ssl)) && host)foo=ssl_get_verify_result(ssl);if ((x509_v_ok==foo) || x509_v_err_self_signed_cert_in_chain==foo))// certificate looks good, host can be trusted"
cwe-296,improper following of a certificate's chain of trust,"the product does not follow, or incorrectly follows, the chain of trust for a certificate back to a trusted root certificate, resulting in incorrect trust of any resource that is associated with that certificate.","
            if a system does not follow the chain of trust of a certificate to a root server, the certificate loses all usefulness as a metric of trust. essentially, the trust gained from a certificate is derived from a chain of trust -- with a reputable trusted entity at the end of that list. the end user must trust that reputable source, and this reputable source must vouch for the resource in question through the medium of the certificate.
            in some cases, this trust traverses several entities who vouch for one another. the entity trusted by the end user is at one end of this trust chain, while the certificate-wielding resource is at the other end of the chain. if the user receives a certificate at the end of one of these trust chains and then proceeds to check only that the first link in the chain, no real trust has been derived, since the entire chain must be traversed back to a trusted source to verify the certificate.
            there are several ways in which the chain of trust might be broken, including but not limited to:
            
              any certificate in the chain is self-signed, unless it the root.
              not every intermediate certificate is checked, starting from the original certificate all the way up to the root certificate.
              an intermediate, ca-signed certificate does not have the expected basic constraints or other important extensions.
              the root certificate has been compromised or authorized to the wrong party.
            
         
         ",https://cwe.mitre.org/data/definitions/296.html,FALSE," language:cif ((cert = ssl_get_peer_certificate(ssl)) && host)foo=ssl_get_verify_result(ssl);if ((x509_v_ok==foo) || x509_v_err_self_signed_cert_in_chain==foo))// certificate looks good, host can be trusted"
cwe-298,improper validation of certificate expiration,"a certificate expiration is not validated or is incorrectly validated, so trust may be assigned to certificates that have been abandoned due to age.","when the expiration of a certificate is not taken into account, no trust has necessarily been conveyed through it. therefore, the validity of the certificate cannot be verified and all benefit of the certificate is lost.
         ",https://cwe.mitre.org/data/definitions/298.html,FALSE, language:cif (cert = ssl_get_peer(certificate(ssl)) {foo=ssl_get_verify_result(ssl);if ((x509_v_ok==foo) || (x509_v_err_cert_has_expired==foo))//do stuff
cwe-302,authentication bypass by assumed-immutable data,"the authentication scheme or implementation uses key data elements that are assumed to be immutable, but can be controlled or modified by the attacker.","
            
            
         
         ",https://cwe.mitre.org/data/definitions/302.html,FALSE," language:javaboolean authenticated = new boolean(getcookievalue(""authenticated"")).booleanvalue();if (authenticated) {...}"
cwe-304,missing critical step in authentication,"the product implements an authentication technique, but it skips a step that weakens the technique.","authentication techniques should follow the algorithms that define them exactly, otherwise authentication can be bypassed or more easily subjected to brute force attacks.
         ",https://cwe.mitre.org/data/definitions/304.html,FALSE,missing
cwe-307,improper restriction of excessive authentication attempts,the product does not implement sufficient measures to prevent multiple failed authentication attempts within a short time frame.,"
            
            
            
         
         ",https://cwe.mitre.org/data/definitions/307.html,FALSE," language:javastring username = request.getparameter(""username"");string password = request.getparameter(""password"");int authresult = authenticateuser(username, password);"
cwe-309,use of password system for primary authentication,"the use of password systems as the primary means of authentication may be subject to several flaws or shortcomings, each reducing the effectiveness of the mechanism.","
            
            
            
         
         ",https://cwe.mitre.org/data/definitions/309.html,FALSE," language:cunsigned char *check_passwd(char *plaintext) {ctext = simple_digest(""sha1"",plaintext,strlen(plaintext), ... );//login if hash matches stored hashif (equal(ctext, secret_password())) {login_user();}}"
cwe-311,missing encryption of sensitive data,the product does not encrypt sensitive or critical information before storage or transmission.,"the lack of proper data encryption passes up the guarantees of confidentiality, integrity, and accountability that properly implemented encryption conveys.
         ",https://cwe.mitre.org/data/definitions/311.html,FALSE," language:phpfunction persistlogin($username, $password){$data = array(""username"" => $username, ""password""=> $password);setcookie (""userdata"", $data);}"
cwe-321,use of hard-coded cryptographic key,the use of a hard-coded cryptographic key significantly increases the possibility that encrypted data may be recovered.,"
             
             
			 
         
         ",https://cwe.mitre.org/data/definitions/321.html,FALSE," language:cint verifyadmin(char *password) {if (strcmp(password,""68af404b513073584c4b6f22b6c63e6b"")) {printf(""incorrect password!\n"");return(0);}printf(""entering diagnostic mode...\n"");return(1);}"
cwe-326,inadequate encryption strength,"the product stores or transmits sensitive data using an encryption scheme that is theoretically sound, but is not strong enough for the level of protection required.","a weak encryption scheme can be subjected to brute force attacks that have a reasonable chance of succeeding using current attack methods and resources.
         ",https://cwe.mitre.org/data/definitions/326.html,FALSE,missing
